"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"V Rising",,"Stunlock Studios","D:\SteamLibrary\steamapps\common\VRising","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/1604030"
"Vaultbreakers Playtest",,"","E:\SteamLibrary\steamapps\common\Vaultbreakers Playtest","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/1851490"
"vcpp_crt.redist.clickonce","14.44.35211","Microsoft Corporation","","MsiExec.exe /I{2BC20F60-9EE7-4EB4-8234-4D7A95A28BFA}"
"Visual Studio Build Tools 2022","17.14.38","Microsoft Corporation","C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" uninstall --installPath ""C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools"""
"VLC media player","3.0.23","VideoLAN","C:\Program Files\VideoLAN\VLC","""C:\Program Files\VideoLAN\VLC\uninstall.exe"""
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation","","MsiExec.exe /I{F5796163-6EC6-488A-B2DE-E1E94477F6AD}"
"vs_communitymsires","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{2DEB6ACA-AD5E-4120-89FA-AA9E5422EC14}"
"vs_communitysharedmsi","17.14.36025","Microsoft Corporation","","MsiExec.exe /I{71498EE6-F94E-4061-9DD5-55925CA8A74F}"
"vs_communityx64msi","17.14.36025","Microsoft Corporation","","MsiExec.exe /I{3873679C-FA03-4101-97E9-107D67C568B8}"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","","MsiExec.exe /I{1851460E-0E63-4117-B5BA-25A2F045801B}"
"vs_filehandler_amd64","17.14.36024","Microsoft Corporation","","MsiExec.exe /I{22EE1419-B47E-44B8-A635-868746946079}"
"vs_filehandler_x86","17.14.36024","Microsoft Corporation","","MsiExec.exe /I{6C7D0172-7367-4F0C-95DB-6021765B58EA}"
"vs_FileTracker_Singleton","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{D331F4E7-BC3B-47BE-BB56-5F33895F9347}"
"vs_githubprotocolhandlermsi","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{29297AFE-9D24-4DFE-ACAF-D90090D905CF}"
"vs_minshellinteropmsi","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{A2FDDC26-4232-4287-8839-2F53A01E1E97}"
"vs_minshellinteropsharedmsi","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{537F07C8-0EC6-41A5-BB91-750FA3CAA110}"
"vs_minshellmsi","17.14.36301","Microsoft Corporation","","MsiExec.exe /I{6AAEB5DD-FFFE-4CA1-9FE2-38A44B6B4477}"
"vs_minshellmsires","17.14.36015","Microsoft Corporation","","MsiExec.exe /I{1C23ABC9-9228-4EDD-B1D3-7EDC2721BC7D}"
"vs_minshellsharedmsi","18.7.11811","Microsoft Corporation","","MsiExec.exe /I{CF40DD63-82FB-432D-88B9-B2EA94F3BBA2}"
"vs_vswebprotocolselectormsi","17.14.36323","Microsoft Corporation","","MsiExec.exe /I{B4B3AA16-E828-4577-A9F2-629E1A95FE4A}"
"vs_vswebprotocolselectormsires","17.14.36323","Microsoft Corporation","","MsiExec.exe /I{F6A7D10C-D5CD-4597-B1FF-CAF663F04DD9}"
"Wago App 2.12.1","2.12.1","The Wago Dev Team",,"""C:\Users\enrik\AppData\Local\Programs\wago-app\Uninstall Wago App.exe"" /currentuser"
"Warcraft I Remastered",,"Blizzard Entertainment","E:\Jeux\Warcraft I Remastered","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=w1r --displayname=""Warcraft I Remastered"""
"Warcraft II Remastered",,"Blizzard Entertainment","E:\Jeux\Warcraft II Remastered","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=w2r --displayname=""Warcraft II Remastered"""
"Warcraft III",,"Blizzard Entertainment","E:\Jeux\Warcraft III","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=w3 --displayname=""Warcraft III"""
"Warcraft Rumble",,"Blizzard Entertainment","E:\Jeux\Warcraft Rumble","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=gryphon --displayname=""Warcraft Rumble"""
"Warframe",,"Digital Extremes","D:\SteamLibrary\steamapps\common\Warframe","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/230410"
"Warperia 1.7.5","1.7.5","The Warperia Team",,"""C:\Users\enrik\AppData\Local\Programs\Warperia\Uninstall Warperia.exe"" /currentuser"
"WinAppDeploy","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{CFEF5BD7-A03F-DEF3-1707-A31C813F6D14}"
"Windows App Certification Kit Native Components","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{20C01991-CCD1-2C06-7A9A-B10A9B4AF807}"
"Windows App Certification Kit SupportedApiList x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{E43BDB72-464A-290B-A51D-537CBBE1CAC8}"
"Windows App Certification Kit x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{B7BC83B0-1A94-0290-4309-820859276E72}"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{B817BAD1-CC9F-940C-FFD8-7543D89B8EB7}"
"Windows Desktop Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{FED10190-CF54-E72D-7A92-E3F9CA9B7950}"
"Windows Desktop Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{F4F63553-2774-41A6-C784-7FAC7DF4CAF3}"
"Windows IoT Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{A056CA2A-2AB1-EB1B-1B2E-D49E0C6C8E17}"
"Windows IoT Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{AA11F890-8A6F-D292-8A1D-D70710A87852}"
"Windows Mobile Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{E901323A-7A02-50A8-F4E0-95C4AD8A098F}"
"Windows Mobile Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{9FA1715F-2809-3C7D-B9BB-17574DA0AED9}"
"Windows SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{A224D569-B07A-8178-A1E4-75DC397C06B2}"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","","MsiExec.exe /I{F6E49AB1-AA83-433D-8D7E-9F0F23CB497D}"
"Windows SDK ARM64 Desktop Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{575077AC-CCC1-9943-6F3C-EDB6149964E7}"
"Windows SDK Desktop Headers arm64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{0A1B70B0-DD98-1BCC-6958-D5AD8BBAF2B2}"
"Windows SDK Desktop Headers x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{CCEEC7A2-2179-C5D0-60E2-2651993A8AD5}"
"Windows SDK Desktop Headers x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{D0772A8A-6AB2-E6E1-8BEF-29F59AB99893}"
"Windows SDK Desktop Libs arm64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{2C37C218-88FF-9E58-0151-1AF693535792}"
"Windows SDK Desktop Libs x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{12C6754C-2086-9BFC-1292-FA0BE54009E6}"
"Windows SDK Desktop Libs x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{9EE92E02-FA29-DF43-7E45-A256139DEBE4}"
"Windows SDK Desktop Tools arm64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{7C1561F8-C963-0AC7-21BD-EA4DD9633C50}"
"Windows SDK Desktop Tools x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{EB362CC9-F0B3-EDBC-82E8-91F6BBF36F6E}"
"Windows SDK Desktop Tools x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{DB72537E-BD30-364B-6A72-09CE78DB8321}"
"Windows SDK DirectX x64 Remote","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{FB7C4DC7-7641-04B7-6639-589757B86783}"
"Windows SDK DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{11C0EB4F-A1BA-2068-49A5-F7C242708BA2}"
"Windows SDK EULA","10.1.26100.7705","Microsoft Corporations","","MsiExec.exe /I{5120ED0E-8B54-B212-15E6-EE404FE83E37}"
"Windows SDK Facade Windows WinMD Versioned","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{FB4D4A9B-9E8F-42CB-B08F-AE153FFA31AC}"
"Windows SDK for Windows Store Apps","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{CEC6FB8C-1F94-F7F8-C9F7-EF55CC2A519F}"
"Windows SDK for Windows Store Apps Contracts","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{E8BE09DF-D93B-AE40-FD63-05E5ABEFB6D9}"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{F738E2CC-E003-B601-F38B-4521ED842C98}"
"Windows SDK for Windows Store Apps Headers","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{B5534577-4F61-73AC-FFCB-91B0B0674DA4}"
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{CB91C4E7-9C14-6ABD-566B-DF4593456102}"
"Windows SDK for Windows Store Apps Libs","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{2CAA22A5-36FE-21B0-5A67-3BE172FEFF12}"
"Windows SDK for Windows Store Apps Metadata","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{AF0CF0ED-D9DA-DFDA-52DD-B3B0FE269640}"
"Windows SDK for Windows Store Apps Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{4C150435-9153-456C-C0BE-497D89513B18}"
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{4D8C14D7-C036-33F2-EFA7-C5CC5F73932B}"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{26BD6DC6-3F0F-4C17-A78C-5D06459F39C0}"
"Windows SDK Modern Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{F251EBD6-9B8C-3876-A422-B4F677BF3766}"
"Windows SDK OnecoreUap Headers arm64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{85F3FF9F-CFBA-AD2F-85E2-90571032D412}"
"Windows SDK OnecoreUap Headers x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{80F76A51-EAF7-DA8E-C732-B26C591BCC23}"
"Windows SDK OnecoreUap Headers x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{EFF12E8F-5027-FE5D-6ABF-5F837F3B70F8}"
"Windows SDK Redistributables","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{96B30005-C36E-07FF-DF27-EEB8199694CD}"
"Windows SDK Signing Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{F9DDDEF1-BCF0-275F-DE29-9332F1149B79}"
"Windows Software Development Kit - Windows 10.0.26100.7705","10.1.26100.7705","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{c0b93b80-d0a4-47fc-a4d1-21a4008a63ca}\winsdksetup.exe""  /uninstall"
"Windows Subsystem for Linux","2.7.11.0","Microsoft Corporation","","MsiExec.exe /X{497CB23D-8747-4047-A079-DD98E0EDFC18}"
"Windows Team Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{1F507473-1077-3AB8-2E11-C839AE4E27B8}"
"Windows Team Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{9A2FEE83-D2FB-A48E-52E0-15801042220F}"
"WinRT Intellisense Desktop - en-us","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{572C25BD-AB18-B702-9ED7-6F0CC6821847}"
"WinRT Intellisense Desktop - Other Languages","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{EA88E7B4-C204-CC0C-FC10-D13FC9C30800}"
"WinRT Intellisense IoT - en-us","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{EB8B0E53-980A-E861-DC85-05240EFA888D}"
"WinRT Intellisense IoT - Other Languages","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{3120663A-4F7D-252C-2829-1B9DBEDFEEED}"
"WinRT Intellisense Mobile - en-us","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{3EEF5F2A-A2A3-89FC-D7DF-CFE8DEFE4A8F}"
"WinRT Intellisense PPI - en-us","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{91306123-946D-452F-3206-A8AB9F8293D6}"
"WinRT Intellisense PPI - Other Languages","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{9BA10CCD-7064-7FAB-B48B-C7B2CCFC60FB}"
"WinRT Intellisense UAP - en-us","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{5C8B4DA5-62C6-8D4A-F21A-AD4D66FCA8D9}"
"WinRT Intellisense UAP - Other Languages","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{099E916C-D17E-7E1A-0046-3AD1D042102F}"
"Wise Care 365","8.0.2","WiseCleaner Technology Co., Ltd.","C:\Program Files (x86)\Wise\Wise Care 365\","""C:\Program Files (x86)\Wise\Wise Care 365\unins001.exe"""
"World of Warcraft",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow --displayname=""World of Warcraft"""
"World of Warcraft Classic Era",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_classic_era --displayname=""World of Warcraft Classic Era"""
"World of Warcraft Classic Era PTR",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_classic_era_ptr --displayname=""World of Warcraft Classic Era PTR"""
"World of Warcraft Classic PTR",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_classic_ptr --displayname=""World of Warcraft Classic PTR"""
"World of Warcraft Public Test",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_ptr --displayname=""World of Warcraft Public Test"""
"World of Warcraft Public Test 3",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_ptr_x --displayname=""World of Warcraft Public Test 3"""
"WowUp 2.22.0","2.22.0","WowUp LLC",,"""C:\Users\enrik\AppData\Local\Programs\wowup\Uninstall WowUp.exe"" /currentuser"
"Zen Browser (x64 en-US)","1.21.14b","Zen OSS Team","C:\Program Files\Zen Browser","""C:\Program Files\Zen Browser\uninstall\helper.exe"""
