2026-08-09T23:18:37.4830800+02:00 | SECTION | E-ZZIO CODE RELOCATION ENGINE v6.0
2026-08-09T23:18:37.4836423+02:00 | INFO | PROJECT ROOT : G:\AI\E-zzio\
2026-08-09T23:18:37.4842013+02:00 | INFO | SEARCH ROOT  : C:\Users\enrik\
2026-08-09T23:18:37.4848158+02:00 | INFO | MODE         : EXECUTE
2026-08-09T23:18:37.4853904+02:00 | INFO | ENVIRONMENT  : UNCHANGED
2026-08-09T23:18:37.4858894+02:00 | INFO | AUDIT ROOT   : G:\AI\E-zzio\runtime\audit\relocation\20260809_231837
2026-08-09T23:18:37.4863907+02:00 | INFO | LOG          : G:\AI\E-zzio\runtime\audit\relocation\20260809_231837\relocation.log
2026-08-09T23:18:37.4874426+02:00 | SECTION | 01 — GARANTIES DE SECURITE
2026-08-09T23:18:37.4888579+02:00 | OK | Projet E-ZZIO protégé contre toute relocalisation interne.
2026-08-09T23:18:37.4895900+02:00 | OK | Dry-run actif par défaut.
2026-08-09T23:18:37.4902163+02:00 | INFO | Aucune suppression automatique.
2026-08-09T23:18:37.4908575+02:00 | INFO | Aucun écrasement automatique.
2026-08-09T23:18:37.4914339+02:00 | INFO | Aucune modification du contenu du projet.
2026-08-09T23:18:37.4920589+02:00 | INFO | Toute destination existante est ignorée.
2026-08-09T23:18:37.4926190+02:00 | INFO | Les déplacements sont validés après opération.
2026-08-09T23:18:37.4940826+02:00 | SECTION | 02 — RECHERCHE DES ARTEFACTS
2026-08-09T23:18:37.4946084+02:00 | INFO | SCAN ROOT : C:\Users\enrik\
2026-08-09T23:18:50.5624796+02:00 | OK | ELEMENTS SCANNES : 444410
2026-08-09T23:19:21.9520560+02:00 | OK | CANDIDATS DETECTES : 82
2026-08-09T23:19:21.9538050+02:00 | SECTION | 03 — NORMALISATION DES CANDIDATS
2026-08-09T23:19:22.0060571+02:00 | OK | CANDIDATS EFFECTIFS : 82
2026-08-09T23:19:22.0075043+02:00 | SECTION | 04 — CLASSIFICATION
2026-08-09T23:19:22.0098218+02:00 | OK | CANDIDATS VALIDES : 82
2026-08-09T23:19:22.0114074+02:00 | SECTION | 05 — CONSTRUCTION DU MANIFESTE
2026-08-09T23:19:22.0192983+02:00 | OK | MANIFEST : G:\AI\E-zzio\runtime\audit\relocation\20260809_231837\relocation_manifest.json
2026-08-09T23:19:22.0208898+02:00 | SECTION | 06 — PREFLIGHT
2026-08-09T23:19:22.0818741+02:00 | OK | PREFLIGHT FAILURES : 0
2026-08-09T23:19:22.0835947+02:00 | SECTION | 07 — PLAN D'EXECUTION
2026-08-09T23:19:22.1668264+02:00 | SECTION | 08 — PREPARATION DES DESTINATIONS
2026-08-09T23:19:22.1704854+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\python
2026-08-09T23:19:22.1718810+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\external\ezzio
2026-08-09T23:19:22.1728962+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\tools
2026-08-09T23:19:22.1740925+02:00 | OK | CREATE | G:\AI\E-zzio\runtime\data
2026-08-09T23:19:22.1754523+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\cache
2026-08-09T23:19:22.1767065+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\temp
2026-08-09T23:19:22.1779593+02:00 | INFO | EXISTE | G:\AI\E-zzio\runtime\audit\relocation
2026-08-09T23:19:22.1793024+02:00 | SECTION | 09 — RELOCALISATION
2026-08-09T23:19:22.2124101+02:00 | OK | MOVE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT -> G:\AI\E-zzio\runtime\temp\EZZIO_AUDIT
2026-08-09T23:19:22.2136259+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_170043.json
2026-08-09T23:19:22.2147395+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_170043.txt
2026-08-09T23:19:22.2158848+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_171644.json
2026-08-09T23:19:22.2172190+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_171644.txt
2026-08-09T23:19:22.2182630+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_172327.json
2026-08-09T23:19:22.2193065+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_172327.txt
2026-08-09T23:19:22.2204528+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_173434.json
2026-08-09T23:19:22.2216661+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_173434.txt
2026-08-09T23:19:22.2226594+02:00 | FAIL | SOURCE ABSENTE | C:\Users\enrik\AppData\Local\Temp\EZZIO_AUDIT\Audit_20260803_173851.json
